ID (QM X),ID (Seach/AM),Type,Name,Base Amount (Found By Using 0001)
241647AF,AF471624,,,
6D9039CA,CA39906D,,,
AA142697,972614AA,,,
9AC68133,3381C69A,,,
D1234E28,284E23D1,,,
D875CC63,63CC75D8,,,
6564C02B,2BC06465,,,
5BB06FB2,B26FB05B,,,
340F36E9,E9360F34,,,
BC15A5CA,CAA515BC,,,
4E2513DF,DF13254E,,,
124DB819,19B84D12,,,
0879726E,6E727908,,,
D3D750D0,D050D7D3,,,
7922655E,5E652279,,,
7D86FACC,CCFA867D,,,
04513C69,693C5104,,,
393BE587,87E53B39,,,
F10A05EA,EA050AF1,,,
20BD4FE1,E14FBD20,,,
38F656E7,E756F638,,,
83318CFF,FF8C3183,,,
F260C7AB,ABC760F2,,,
713933ED,ED333971,,,
D466D2D3,D3D266D4,,,
994219A1,A1194299,,,
CA56BDBF,BFBD56CA,,,
2DEE5EED,ED5EEE2D,,,
6045BB81,81BB4560,,,
