category,id,name,decimal,source,aliases
Action - Rackam,8,Collateral Damage,8,Community action_ids.md,
Action - Rosetta,0,Rose Palace,0,Community action_ids.md,
Action - Rosetta,1,Sillage (Rose Attack),1,Community action_ids.md,
Action - Rosetta,2,Rose Tycoon,2,Community action_ids.md,
Action - Rosetta,4,Spiral Rose,4,Community action_ids.md,
Action - Rosetta,6,Lost Love,6,Community action_ids.md,
Action - Sandalphon,2100,No Way Out,2100,Community action_ids.md,
Action - Sandalphon,2200,Ecliptica,2200,Community action_ids.md,
Action - Sandalphon,2400,Revontulet,2400,Community action_ids.md,
Action - Sandalphon,2500,Alone in Heaven (No Counter),2500,Community action_ids.md,
Action - Sandalphon,2520,Alone in Heaven (Countered),2520,Community action_ids.md,
Action - Sandalphon,2600,Talviyö (Initial),2600,Community action_ids.md,
Action - Sandalphon,2700,Ethereal Prison,2700,Community action_ids.md,
Action - Sandalphon,3100,No Way Out (Chromatic Wings),3100,Community action_ids.md,
Action - Seofon,1000,Barrido,1000,Community action_ids.md,
Action - Seofon,10000,Spirit Swords (Projectiles),10000,Community action_ids.md,
Action - Seofon,1001,Barrido (Avatar),1001,Community action_ids.md,
Action - Seofon,2000,Infinito Creare,2000,Community action_ids.md,
Action - Seofon,2001,Infinito Creare (Avatar),2001,Community action_ids.md,
Action - Seofon,3000,Rotura,3000,Community action_ids.md,
Action - Seofon,3001,Rotura (Avatar),3001,Community action_ids.md,
Action - Seofon,6000,Despedazar,6000,Community action_ids.md,
Action - Seofon,6001,Despedazar (Avatar),6001,Community action_ids.md,
Action - Siegfried,1000,Uwe,1000,Community action_ids.md,
Action - Siegfried,1100,L'Ombre d'Hier,1100,Community action_ids.md,
Action - Siegfried,1300,Nelah Nav,1300,Community action_ids.md,
Action - Siegfried,1600,Vendrängen,1600,Community action_ids.md,
Action - Siegfried,170,Perfect Execution,170,Community action_ids.md,
Action - Tweyen,1100,Depravity,1100,Community action_ids.md,
Action - Tweyen,1200,Clincher,1200,Community action_ids.md,
Action - Tweyen,1300,Valiant Weave,1300,Community action_ids.md,
Action - Tweyen,1400,Wheel of Death,1400,Community action_ids.md,
Action - Tweyen,1510,Lethal Rain,1510,Community action_ids.md,
Action - Tweyen,1700,Two-Crown's Strife 1,1700,Community action_ids.md,
Action - Tweyen,1701,Two-Crown's Strife 2,1701,Community action_ids.md,
Action - Vane,1100,Rift Divider,1100,Community action_ids.md,
Action - Vane,1300,Arm Destruction,1300,Community action_ids.md,
Action - Vane,1400,Heroic Beat,1400,Community action_ids.md,
Action - Vane,1600,Energy Destruction,1600,Community action_ids.md,
Action - Vaseraga,1000,Battalions of Fear,1000,Community action_ids.md,
Action - Vaseraga,1100,Violent Shadows,1100,Community action_ids.md,
Action - Vaseraga,1200,Great Scythe Grynoth,1200,Community action_ids.md,
Action - Vaseraga,1500,Damnation,1500,Community action_ids.md,
Action - Vaseraga,1600,Umbral Eclipse,1600,Community action_ids.md,
Action - Vaseraga,1700,Netherwrath,1700,Community action_ids.md,
Action - Yodarha,1,Awakening,1,Community action_ids.md,
Action - Yodarha,2,Empty Mist,2,Community action_ids.md,
Action - Yodarha,5,Tit for Tat,5,Community action_ids.md,
Action - Yodarha,7,Flashing Void,7,Community action_ids.md,
Action - Yodarha,8,Sky Shatter,8,Community action_ids.md,
Action - Zeta,1000,Infinite Wonders,1000,Community action_ids.md,
Action - Zeta,1100,Rain of Fury,1100,Community action_ids.md,
Action - Zeta,1200,Spear of Arvess,1200,Community action_ids.md,
Action - Zeta,1400,Wingclipper,1400,Community action_ids.md,
Action - Zeta,1610,Thousand Flames,1610,Community action_ids.md,
Action - Zeta,1700,Realm's Majesty (No Counter),1700,Community action_ids.md,
Buff,-1,Unknown,,Community buff_ids.csv,0xF8C4E240
Buff,0,Various,0,Community buff_ids.csv,0x3DF78A11
Buff,1,Unknown,1,Community buff_ids.csv,0x74E366EA
Buff,10,Mirror Image (Area)(3 Hits),10,Community buff_ids.csv,0x4630AB3C
Buff,11,Mirror Image (Self),11,Community buff_ids.csv,0x2CB18EB5
Buff,12,Stout Heart (Self),12,Community buff_ids.csv,0xF0C762F9
Buff,13,Hostility (Self),13,Community buff_ids.csv,0xF690C192
Buff,16,Heal (Self),16,Community buff_ids.csv,0xA65CE935
Buff,18,Supplementary Damage (Self),18,Community buff_ids.csv,0x173C4A28
Buff,19,Drain (Team),19,Community buff_ids.csv,0x5DAFEB78
Buff,2,ATK UP (Party),2,Community buff_ids.csv,0x7EA3642C
Buff,20,ATK DOWN (Enemy - Applied in Area),20,Community buff_ids.csv,0x8EBDD513
Buff,21,DEF DOWN (Enemy - Applied in Area),21,Community buff_ids.csv,0xCC5CEBB6
Buff,23,DEF DOWN (Enemy - Applied by AtkFlag=19),23,Community buff_ids.csv,0x0F00F2F8
Buff,24,Drain (Self - Based on most recent attack),24,Community buff_ids.csv,0x994ABA62
Buff,25,Dispel (Enemy - Applied by AtkFlag=19),25,Community buff_ids.csv,0x0A71753A
Buff,26,Substitute (Area),26,Community buff_ids.csv,0xEC211E9C
Buff,27,Debuff Immunity (Team),27,Community buff_ids.csv,0x93505ED4
Buff,28,SBA Share,28,Community buff_ids.csv,0xE2893157
Buff,29,Guts (Self),29,Community buff_ids.csv,0x15B7ACB7
Buff,3,DEF UP (Party),3,Community buff_ids.csv,0x7279FD12
Buff,30,Bugged Stout Heart (No Icon),30,Community buff_ids.csv,0x38E66DEF
Buff,31,Strength,31,Community buff_ids.csv,0x4EFE6CF8
Buff,32,Jammed,32,Community buff_ids.csv,0xCAD30AAD
Buff,33,Critical Hit Chance (Team),33,Community buff_ids.csv,0x72F61986
Buff,34,Critical Hit Chance (Self),34,Community buff_ids.csv,0x24B08E48
Buff,4,Damage Cut (Area),4,Community buff_ids.csv,0xB9EE55DF
Buff,5,Cleanse (Self),5,Community buff_ids.csv,0x385B2937
Buff,6,Invulnerability (Area),6,Community buff_ids.csv,0x5D242D2D
Buff,7,ATK UP (Self),7,Community buff_ids.csv,0x94356910
Buff,8,DEF UP (Self),8,Community buff_ids.csv,0x04620443
Buff,9,Invulnerability (Self),9,Community buff_ids.csv,0x8567C7C4
Buff Hash,0x04620443,DEF UP (Self),,Community buff_ids.csv,8
Buff Hash,0x0A71753A,Dispel (Enemy - Applied by AtkFlag=19),,Community buff_ids.csv,25
Buff Hash,0x0F00F2F8,DEF DOWN (Enemy - Applied by AtkFlag=19),,Community buff_ids.csv,23
Buff Hash,0x15B7ACB7,Guts (Self),,Community buff_ids.csv,29
Buff Hash,0x173C4A28,Supplementary Damage (Self),,Community buff_ids.csv,18
Buff Hash,0x24B08E48,Critical Hit Chance (Self),,Community buff_ids.csv,34
Buff Hash,0x2CB18EB5,Mirror Image (Self),,Community buff_ids.csv,11
Buff Hash,0x385B2937,Cleanse (Self),,Community buff_ids.csv,5
Buff Hash,0x38E66DEF,Bugged Stout Heart (No Icon),,Community buff_ids.csv,30
Buff Hash,0x3DF78A11,Various,,Community buff_ids.csv,0
Buff Hash,0x4630AB3C,Mirror Image (Area)(3 Hits),,Community buff_ids.csv,10
Buff Hash,0x4EFE6CF8,Strength,,Community buff_ids.csv,31
Buff Hash,0x5D242D2D,Invulnerability (Area),,Community buff_ids.csv,6
Buff Hash,0x5DAFEB78,Drain (Team),,Community buff_ids.csv,19
Buff Hash,0x7279FD12,DEF UP (Party),,Community buff_ids.csv,3
Buff Hash,0x72F61986,Critical Hit Chance (Team),,Community buff_ids.csv,33
Buff Hash,0x74E366EA,Unknown,,Community buff_ids.csv,1
Buff Hash,0x7EA3642C,ATK UP (Party),,Community buff_ids.csv,2
Buff Hash,0x8567C7C4,Invulnerability (Self),,Community buff_ids.csv,9
Buff Hash,0x8EBDD513,ATK DOWN (Enemy - Applied in Area),,Community buff_ids.csv,20
Buff Hash,0x93505ED4,Debuff Immunity (Team),,Community buff_ids.csv,27
Buff Hash,0x94356910,ATK UP (Self),,Community buff_ids.csv,7
Buff Hash,0x994ABA62,Drain (Self - Based on most recent attack),,Community buff_ids.csv,24
Buff Hash,0xA65CE935,Heal (Self),,Community buff_ids.csv,16
Buff Hash,0xB9EE55DF,Damage Cut (Area),,Community buff_ids.csv,4
Buff Hash,0xCAD30AAD,Jammed,,Community buff_ids.csv,32
Buff Hash,0xCC5CEBB6,DEF DOWN (Enemy - Applied in Area),,Community buff_ids.csv,21
Buff Hash,0xE2893157,SBA Share,,Community buff_ids.csv,28
Buff Hash,0xEC211E9C,Substitute (Area),,Community buff_ids.csv,26
Buff Hash,0xF0C762F9,Stout Heart (Self),,Community buff_ids.csv,12
Buff Hash,0xF690C192,Hostility (Self),,Community buff_ids.csv,13
Buff Hash,0xF8C4E240,Unknown,,Community buff_ids.csv,-1
Buff Hash - Character Specific,0x01AE6CA0,Deadshot (Pl2300),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x035AE5D4,Breath of Life (Calls FSM) (Pl2100),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x05CA5D48,Thousand Flames (Adds Dispel properties and calls FSM) (Pl1600),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x1F52CBDF,Benediction Lvl 1 (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x2206919A,Stacks of Eternal Rage (Pl1500),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x2C52A4A2,Redistribute (Pl0100),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x33841980,Summon all Pets (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x351D334B,Full Heal + Cleanse (Self) (Pl0900),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x6B258477,Ethereal Prison (Calls FSM) (Pl2100),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x70FA1BE7,Draconic Release (Pl1100),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x7174941D,Full Avatar Gauge (Pl2200),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x71A4DF4E,Sic 'em Geegee (Calls FSM) (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x7935180E,Umlauf (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x7B2B42FC,10 Stacks of Eternal Rage (Pl1500),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x865B9A65,Benediction Lvl 2 (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x8D2324D6,Phantasmagoria (Pl1800),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x8D70C1B6,Melas Gauge Activation (Pl1700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0x9234731A,Trice Blade (Pl1300),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xA35A1ACC,DMG Increase Based on SBA Gauge (Pl0900),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xA80061E9,Max SBA Gauge (Team) (Pl2200),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xAA8D483A,+1 Pet (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xB6B2FA0D,Valiant Stance (Pl1200),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xC8313227,Supplementary DMG (Self) (Pl0800),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xDAE7BCB5,Onslaught Pet Summon (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xE000D366,ATK UP + DEF UP (Self) (Pl1100),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xEFF8B87D,Mystic Vortex (3) (Pl0400),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xF15CAAF3,Benediction Lvl 3 (Pl0700),,Community buff_ids_specific.csv,
Buff Hash - Character Specific,0xF858EDED,Health Loss (Self) (Pl1700),,Community buff_ids_specific.csv,
Control Type,0,Default Control Type / ExActAtkSingle,0,Community control_types.md,0xF39CFDF5
Control Type,1,Two motions in order / ExActAtkSingleConnection,1,Community control_types.md,0x4582EE4A
Control Type,2,Charge control / ExActAtkCharge,2,Community control_types.md,0x6C507ED8
Control Type,3,Stationary or multistage charging / ExActAtkChargeSimple,3,Community control_types.md,0xDF037954
Control Type,4,Rapid control / ExActAtkRapid,4,Community control_types.md,0xAB6F341B
Control Type Hash,0x4582EE4A,Two motions in order / ExActAtkSingleConnection,,Community control_types.md,1
Control Type Hash,0x6C507ED8,Charge control / ExActAtkCharge,,Community control_types.md,2
Control Type Hash,0xAB6F341B,Rapid control / ExActAtkRapid,,Community control_types.md,4
Control Type Hash,0xDF037954,Stationary or multistage charging / ExActAtkChargeSimple,,Community control_types.md,3
Control Type Hash,0xF39CFDF5,Default Control Type / ExActAtkSingle,,Community control_types.md,0
Debuff/Ailment,0,?,0,Community debuff_ailment_ids.csv,hash=0x3A104097; status=?
Debuff/Ailment,1,Burn,1,Community debuff_ailment_ids.csv,hash=0x10D25D5C; status=1001
Debuff/Ailment,10,Slow,10,Community debuff_ailment_ids.csv,hash=0x70873185; status=1002
Debuff/Ailment,11,Darkflame,11,Community debuff_ailment_ids.csv,hash=0x993235CA; status=1011
Debuff/Ailment,15,Glaciate,15,Community debuff_ailment_ids.csv,hash=0x35ABCF81; status=1004
Debuff/Ailment,16,Bound,16,Community debuff_ailment_ids.csv,hash=0x62375707; status=1012
Debuff/Ailment,17,Skill Sealed,17,Community debuff_ailment_ids.csv,hash=0x29635228; status=1016
Debuff/Ailment,18,SBA Sealed,18,Community debuff_ailment_ids.csv,hash=0x37E7BA96; status=1017
Debuff/Ailment,19,Blight,19,Community debuff_ailment_ids.csv,hash=0x61B1700D; status=1018
Debuff/Ailment,2,Dizzy,2,Community debuff_ailment_ids.csv,hash=0xB6F49156; status=1003
Debuff/Ailment,20,Fear,20,Community debuff_ailment_ids.csv,hash=0xF67874A6; status=1019
Debuff/Ailment,21,Arvess Fermare,21,Community debuff_ailment_ids.csv,hash=0xF816D1FD; status=1020
Debuff/Ailment,22,Ethereal Prison,22,Community debuff_ailment_ids.csv,hash=0xC9932485; status=?
Debuff/Ailment,23,Debuff Extension,23,Community debuff_ailment_ids.csv,hash=0x48841219; status=1022
Debuff/Ailment,3,Held Under,3,Community debuff_ailment_ids.csv,hash=0xF6533F8E; status=1008
Debuff/Ailment,4,Frostbite,4,Community debuff_ailment_ids.csv,hash=0xCE8AF003; status=1005
Debuff/Ailment,5,Sandtomb,5,Community debuff_ailment_ids.csv,hash=0x47BB7C64; status=1006
Debuff/Ailment,8,Paralysis,8,Community debuff_ailment_ids.csv,hash=0xB1508E3D; status=1007
Debuff/Ailment,9,Poison,9,Community debuff_ailment_ids.csv,hash=0x5320CE6F; status=1000
Debuff/Ailment Hash,0x10D25D5C,Burn,,Community debuff_ailment_ids.csv,id=1; status=1001
Debuff/Ailment Hash,0x29635228,Skill Sealed,,Community debuff_ailment_ids.csv,id=17; status=1016
Debuff/Ailment Hash,0x35ABCF81,Glaciate,,Community debuff_ailment_ids.csv,id=15; status=1004
Debuff/Ailment Hash,0x37E7BA96,SBA Sealed,,Community debuff_ailment_ids.csv,id=18; status=1017
Debuff/Ailment Hash,0x3A104097,?,,Community debuff_ailment_ids.csv,id=0; status=?
Debuff/Ailment Hash,0x47BB7C64,Sandtomb,,Community debuff_ailment_ids.csv,id=5; status=1006
Debuff/Ailment Hash,0x48841219,Debuff Extension,,Community debuff_ailment_ids.csv,id=23; status=1022
Debuff/Ailment Hash,0x5320CE6F,Poison,,Community debuff_ailment_ids.csv,id=9; status=1000
Debuff/Ailment Hash,0x61B1700D,Blight,,Community debuff_ailment_ids.csv,id=19; status=1018
Debuff/Ailment Hash,0x62375707,Bound,,Community debuff_ailment_ids.csv,id=16; status=1012
Debuff/Ailment Hash,0x6680BF9B,Max HP Down,,Community debuff_ailment_ids.csv,id=; status=
Debuff/Ailment Hash,0x70873185,Slow,,Community debuff_ailment_ids.csv,id=10; status=1002
Debuff/Ailment Hash,0x993235CA,Darkflame,,Community debuff_ailment_ids.csv,id=11; status=1011
Debuff/Ailment Hash,0xB1508E3D,Paralysis,,Community debuff_ailment_ids.csv,id=8; status=1007
Debuff/Ailment Hash,0xB6F49156,Dizzy,,Community debuff_ailment_ids.csv,id=2; status=1003
Debuff/Ailment Hash,0xC9932485,Ethereal Prison,,Community debuff_ailment_ids.csv,id=22; status=?
Debuff/Ailment Hash,0xCE8AF003,Frostbite,,Community debuff_ailment_ids.csv,id=4; status=1005
Debuff/Ailment Hash,0xD21EADD5,ATK Down,,Community debuff_ailment_ids.csv,id=; status=
Debuff/Ailment Hash,0xE7C92715,Def Down,,Community debuff_ailment_ids.csv,id=; status=
Debuff/Ailment Hash,0xF493ECEE,Drain,,Community debuff_ailment_ids.csv,id=; status=
Debuff/Ailment Hash,0xF6533F8E,Held Under,,Community debuff_ailment_ids.csv,id=3; status=1008
Debuff/Ailment Hash,0xF67874A6,Fear,,Community debuff_ailment_ids.csv,id=20; status=1019
Debuff/Ailment Hash,0xF70DC616,Dispel,,Community debuff_ailment_ids.csv,id=; status=
Debuff/Ailment Hash,0xF816D1FD,Arvess Fermare,,Community debuff_ailment_ids.csv,id=21; status=1020
Enemy Weapon,2110,Freikugel,2110,Community model_ids.md,
Enemy Weapon,2111,Mjolnir,2111,Community model_ids.md,
Enemy Weapon,2112,Caduceus,2112,Community model_ids.md,
Enemy Weapon,2113,Gae Bulg,2113,Community model_ids.md,
Enemy Weapon,3100,Firefly,3100,Community model_ids.md,
Enemy Weapon,3101,Hutchison Generator,3101,Community model_ids.md,
Enemy Weapon,7000,Skotadi,7000,Community model_ids.md,
Enemy Weapon,7001,Fotia,7001,Community model_ids.md,
Enemy Weapon,7002,Hydor,7002,Community model_ids.md,
Enemy Weapon,7003,Edafos,7003,Community model_ids.md,
Enemy Weapon,7004,Anemos,7004,Community model_ids.md,
Enemy Weapon,7300,Nereid/Halimede,7300,Community model_ids.md,
Model Breakable Prop,BH0002,Merchant's Cargo,,Community model_ids.md,
Model Breakable Prop,BH0003,Hallowed Ground,,Community model_ids.md,
Model Breakable Prop,BH0004,Barricade,,Community model_ids.md,
Model Breakable Prop,BH2002,20mm Ether Autocannon,,Community model_ids.md,
Model Breakable Prop,BH2005,Control Unit,,Community model_ids.md,
Model Enemy,EM0000,Goblin Stormer/Bandit/Striker/Gatherer/Trooper/Savage Carrion-Eater,,Community model_ids.md,
Model Enemy,EM0001,Goblin Witch Doctor/Hexer/Pyromancer,,Community model_ids.md,
Model Enemy,EM0002,Goblin Tanker/Mud-Covered Swordsman,,Community model_ids.md,
Model Enemy,EM0003,Goblin Archer/Frenzied Archer,,Community model_ids.md,
Model Enemy,EM0004,Goblin Soldier/Gladiator/Rowdy Bord/Craver Janaf/Sandeater Gimza,,Community model_ids.md,
Model Enemy,EM0005,Goblin Warrior/Greatshield Madbeat,,Community model_ids.md,
Model Enemy,EM0100,Skeleton/Mossy Skeleton,,Community model_ids.md,
Model Enemy,EM0101,Frosty Bones/Withered Holy Knight/Icy Hexblade,,Community model_ids.md,
Model Enemy,EM0102,Gerasene,,Community model_ids.md,
Model Enemy,EM0103,Scarmiglione,,Community model_ids.md,
Model Enemy,EM0200,Timber Wolf/Sand Wolf/Ravenous Wolf,,Community model_ids.md,
Model Enemy,EM0201,Goblin Wolfrider/Crimson Runner,,Community model_ids.md,
Model Enemy,EM0300,Hornbird/Ominous Raptor/Crazed Crow/Minepecker,,Community model_ids.md,
Model Enemy,EM0400,Wyvern,,Community model_ids.md,
Model Enemy,EM0500,Quakadile,,Community model_ids.md,
Model Enemy,EM0501,Blizzadile,,Community model_ids.md,
Model Enemy,EM0502,Infernadile,,Community model_ids.md,
Model Enemy,EM0600,Slime,,Community model_ids.md,
Model Enemy,EM0601,Silverslime,,Community model_ids.md,
Model Enemy,EM0602,Goldslime,,Community model_ids.md,
Model Enemy,EM0603,King Silverslime,,Community model_ids.md,
Model Enemy,EM0604,King Goldslime,,Community model_ids.md,
Model Enemy,EM0605,Prismatic Slime,,Community model_ids.md,
Model Enemy,EM0701,Cyaegha/Silent Watcher,,Community model_ids.md,
Model Enemy,EM0705,Ahriman,,Community model_ids.md,
Model Enemy,EM0706,Nazarbonju/Eternal Gaze,,Community model_ids.md,
Model Enemy,EM0800,Flame Gyre,,Community model_ids.md,
Model Enemy,EM0801,Aqua Gyre,,Community model_ids.md,
Model Enemy,EM0802,Earth Gyre,,Community model_ids.md,
